waiting for 1 second sample...
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  20   0  2362   2534 221M  57M  23G  22G 467M   7G  51460    156      4      1 
   7   0  1220   1676 220M  57M  23G  22G 467M   7G  18688     56      0      0 
  18   0  2346   2454 217M  57M  23G  22G 468M   7G  61956    185      0      0 
  20   0  2493   2602 216M  57M  23G  22G 467M   7G  64516    196 121572    155 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   6   0   951   1371 282M  57M  23G  22G 467M   7G   1536      4     92      1 
  19   0  2505   2604 295M  57M  23G  22G 467M   7G  66052    210      4      1 
  12   0  1991   2374 270M  57M  23G  22G 467M   7G  51460    158      0      0 
  10   0  1372   1695 271M  57M  23G  22G 467M   7G  14592     44      0      0 
  17   1  2507   2687 258M  57M  23G  22G 467M   7G  66052    199 161936    178 
  21   0  1973   2047 271M  57M  23G  22G 468M   7G  24704     75      0      0 
   9   0  1639   2208 251M  57M  23G  22G 468M   7G  41348    124    136      2 
  17   0  2344   2597 274M  57M  23G  22G 467M   7G  66052    198      0      0 
  13   0  2048   2414 243M  57M  23G  22G 468M   7G  52356    167      0      0 
   9   0  1310   1587 238M  57M  23G  22G 468M   7G  13696     40  34096     35 
  18   1  2561   2645 263M  57M  23G  22G 468M   7G  66052    199 127724    132 
  16   1  2216   2635 272M  57M  23G  22G 468M   7G  59652    179    136      2 
   8   0  1229   1677 282M  57M  23G  22G 469M   7G  18669     58      0      0 
  14   0  1970   2361 248M  57M  23G  22G 469M   7G  53818    161      0      0 
  18   0  2523   2820 274M  57M  23G  22G 469M   7G  66052    200      0      0 
  12   0  1591   1757 256M  57M  23G  22G 470M   7G  16496     56 121203    133 
  10   0  1671   2099 251M  56M  23G  22G 469M   7G  49590    148    108      2 
  17   0  2328   2530 267M  56M  23G  22G 469M   7G  66052    198      0      0 
  12   0  1663   2086 266M  56M  23G  22G 470M   7G  43264    130      0      0 
  10   0  1356   1788 277M  56M  23G  22G 470M   7G  22765     68      0      0 
  16   1  2499   2824 255M  56M  23G  22G 470M   7G  66052    198 161780    164 
  16   1  2248   2470 250M  56M  23G  22G 470M   7G  60548    182    108      1 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   6   0  1161   1576 272M  56M  23G  22G 471M   7G  17810     53      4      1 
  18   0  2270   2430 268M  56M  23G  22G 470M   7G  53764    161      0      0 
  15   0  2318   2676 281M  56M  23G  22G 470M   7G  66052    199      0      0 
  12   0  1641   1831 274M  56M  23G  22G 471M   7G  12288     37 161784    164 
  10   0  1890   2285 256M  56M  23G  22G 471M   7G  53764    161      0      0 
  19   0  2619   2808 271M  56M  23G  22G 471M   7G  66180    201     88      2 
  11   0  1332   1595 280M  56M  23G  22G 471M   7G  12800     40      0      0 
  11   0  1892   2152 244M  56M  23G  22G 471M   7G  52650    157      0      0 
  18   1  2522   2802 283M  56M  23G  22G 471M   7G  66652    201      0      0 
   6   0  1227   1465 270M  56M  23G  22G 472M   7G  12288     39 121552    177 
  17   0  2279   2493 260M  56M  23G  22G 472M   7G  53764    161    112      2 
  16   0  2319   2517 273M  56M  23G  22G 472M   7G  66052    204      0      0 
  11   0  1435   1747 255M  56M  23G  22G 473M   7G  17408     55      0      0 
  10   0  1771   2151 251M  56M  23G  22G 472M   7G  48644    144      0      0 
  15   0  2436   2691 279M  56M  23G  22G 472M   7G  66056    198 121544    148 
  11   1  1731   2107 268M  55M  23G  22G 472M   7G  41216    135      0      0 
  10   0  1441   1786 249M  55M  23G  22G 473M   7G  24836     74    140      2 
  15   0  2443   2852 272M  55M  23G  22G 473M   7G  66052    199      0      0 
  15   0  2165   2482 275M  55M  23G  22G 473M   7G  52356    158      0      0 
   8   0  1399   1605 274M  55M  23G  22G 474M   7G  13696     40 161816    166 
  18   1  2602   2986 259M  55M  23G  22G 473M   7G  66052    197      0      0 
  14   0  1780   1995 276M  55M  23G  22G 473M   7G  29440     96    124      2 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  10   0  1854   2354 248M  55M  23G  22G 474M   7G  36612    109      0      0 
  15   0  2323   2567 264M  55M  23G  22G 474M   7G  66052    199      0      0 
  16   1  2291   2314 276M  55M  23G  22G 474M   7G  53455    160 161618    163 
   7   0  1188   1619 260M  55M  23G  22G 475M   7G  13453     42      0      0 
  16   0  2279   2387 264M  55M  23G  22G 474M   7G  65156    199    108      2 
  18   0  2404   2672 279M  55M  23G  22G 474M   7G  57604    172      0      0 
   6   0  1261   1754 267M  55M  23G  22G 475M   7G  16640     50      0      0 
  15   0  2291   2574 249M  55M  23G  22G 475M   7G  57860    173      0      0 
  17   0  2714   2862 282M  55M  23G  22G 475M   7G  66052    199 161780    165 
  11   0  1401   1628 272M  55M  23G  22G 475M   7G  17152     62    104      1 
  10   0  1834   2140 261M  55M  23G  22G 475M   7G  48900    162      4      1 
  16   0  2354   2612 272M  55M  23G  22G 475M   7G  66052    231      0      0 
   6   0  1027   1409 261M  55M  23G  22G 476M   7G  10240     31      0      0 
  18   1  2453   2460 249M  55M  23G  22G 476M   7G  55812    168 121352    124 
  21   0  2390   2542 247M  55M  23G  22G 476M   7G  46208    140      0      0 
   9   0  1392   1813 276M  54M  23G  22G 476M   7G  19844     60    104      2 
  15   0  2348   2651 263M  54M  23G  22G 476M   7G  66052    198      0      0 
  16   0  2477   2772 264M  54M  23G  22G 476M   7G  64516    203      0      0 
  10   0  1361   1580 249M  54M  23G  22G 477M   7G  14464     47  56068     56 
  11   0  2159   2384 247M  54M  23G  22G 477M   7G  53124    158 105952    137 
  15   1  2367   2664 274M  54M  23G  22G 478M   7G  66052    200    100      1 
  11   0  1796   2175 270M  54M  23G  22G 478M   7G  37120    111      4      1 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  10   0  1602   1950 244M  54M  23G  22G 478M   7G  28932     87      0      0 
  17   0  2606   2932 271M  54M  23G  22G 478M   7G  66052    199      0      0 
  12   0  2176   2292 279M  54M  23G  22G 478M   7G  53892    166 162000    178 
   9   0  1267   1589 274M  54M  23G  22G 478M   7G  12160     36      0      0 
  15   1  2367   2603 249M  54M  23G  22G 478M   7G  66052    200    152      2 
  15   0  2290   2501 281M  54M  23G  22G 478M   7G  66052    199      0      0 
  11   0  1432   1809 262M  54M  23G  22G 478M   7G  23808     74      0      0 
  10   0  1708   2100 251M  54M  23G  22G 479M   7G  42244    125 121384    126 
  16   1  2346   2583 272M  54M  23G  22G 478M   7G  66052    206      0      0 
  15   0  1874   2074 243M  54M  23G  22G 479M   7G  33024    100    132      2 
   8   0  1492   1837 240M  54M  23G  22G 480M   7G  33028    102      0      0 
  15   0  2322   2582 267M  54M  23G  22G 479M   7G  66052    199      0      0 
  15   0  1834   1846 248M  54M  23G  22G 479M   7G  22656     71 161780    163 
  11   1  1631   2055 275M  54M  23G  22G 479M   7G  43396    130      0      0 
  17   0  2407   2556 278M  53M  23G  22G 479M   7G  65986    199     96      2 
  13   0  1636   1855 268M  53M  23G  22G 479M   7G  26752     80      0      0 
  11   0  1769   2070 248M  53M  23G  22G 480M   7G  39339    118      0      0 
  16   0  2455   2755 269M  53M  23G  22G 480M   7G  66052    200      0      0 
  21   0  2068   1990 259M  53M  23G  22G 480M   7G  13184     42 121348    124 
   9   0  1843   2202 250M  53M  23G  22G 481M   7G  52868    157    108      2 
  15   0  2271   2446 279M  53M  23G  22G 480M   7G  66052    199      0      0 
  10   0  1261   1542 273M  53M  23G  22G 480M   7G  12288     38      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  12   1  2025   2447 258M  53M  23G  22G 481M   7G  53764    161      0      0 
  17   0  2496   2674 269M  53M  23G  22G 481M   7G  66052    201 161784    277 
   6   0  1074   1490 279M  53M  23G  22G 481M   7G  12288     37     96      1 
  17   0  2099   2217 254M  53M  23G  22G 481M   7G  53764    164      4      1 
  14   1  2076   2428 271M  53M  23G  22G 481M   7G  53508    162      0      0 
  10   0  1228   1560 241M  53M  23G  22G 482M   7G  12544     38      0      0 
  22   1  2779   2792 264M  53M  23G  22G 481M   7G  65986    199 121219    131 
  17   0  2154   2244 277M  53M  23G  22G 482M   7G  53562    165    104      1 
   7   0  1153   1546 273M  53M  23G  22G 482M   7G  12544     38      4      1 
  17   0  2372   2617 279M  53M  23G  22G 482M   7G  66052    199      0      0 
  12   0  1398   1639 275M  53M  23G  22G 482M   7G  16512     52      0      0 
  11   0  1770   2080 250M  53M  23G  22G 482M   7G  49540    148      0      0 
  18   1  2611   2662 275M  53M  23G  22G 482M   7G  66052    199 162260    203 
  12   0  1423   1735 256M  53M  23G  22G 482M   7G  18560     57    136      2 
  10   0  1831   2223 250M  53M  23G  22G 483M   7G  47492    142      0      0 
  17   0  2463   2696 282M  52M  23G  22G 483M   7G  66052    202      0      0 
  11   0  1743   2163 267M  52M  23G  22G 483M   7G  37120    112      0      0 
  10   0  1789   2015 246M  52M  23G  22G 484M   7G  28936     88 161812    165 
  16   0  2338   2562 240M  52M  23G  22G 483M   7G  66052    199    136      2 
  15   0  2031   2228 240M  52M  23G  22G 484M   7G  53508    161      0      0 
   7   0  1183   1639 271M  52M  23G  22G 484M   7G  14592     44      0      0 
  16   0  2292   2489 278M  52M  23G  22G 484M   7G  64004    192      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  16   1  2719   3039 306M  52M  23G  22G 474M   7G  64516    196 121356    124 
   7   0  1162   1517 252M  52M  23G  22G 475M   7G  13824     48    124      2 
  17   0  2331   2576 263M  52M  23G  22G 475M   7G  53764    161      0      0 
  16   0  2339   2624 271M  52M  23G  22G 474M   7G  66052    201      0      0 
  11   0  1404   1723 304M  52M  23G  22G 474M   7G  13184     52      0      0 
  11   0  2057   2430 274M  52M  23G  22G 474M   7G  52657    156  49725     50 
  16   0  2652   2848 266M  52M  23G  22G 474M   7G  66317    200 112406    115 
  12   0  1587   1901 273M  52M  23G  22G 475M   7G  22656     69      0      0 
  11   0  1840   2228 250M  52M  23G  22G 475M   7G  43396    130      0      0 
  18   0  2407   2578 280M  52M  23G  22G 475M   7G  66052    200      0      0 
  15   0  1675   1946 282M  52M  23G  22G 475M   7G  14336     44      0      0 
   9   0  2141   2559 246M  52M  23G  22G 476M   7G  51716    155 121464    127 
  16   0  2351   2583 268M  52M  23G  22G 475M   7G  66052    199      0      0 
  11   0  1808   2089 269M  52M  23G  22G 476M   7G  46208    141      0      0 
  10   0  1485   1834 247M  52M  23G  22G 476M   7G  19844     59      0      0 
  16   0  2379   2666 268M  51M  23G  22G 476M   7G  66052    200      0      0 
  16   0  2326   2567 263M  51M  23G  22G 476M   7G  64516    199 161912    166 
   7   0   968   1347 243M  51M  23G  22G 477M   7G   1536      4      0      0 
  18   1  2368   2509 272M  51M  23G  22G 476M   7G  66052    200      0      0 
  14   0  1635   1919 274M  51M  23G  22G 476M   7G  18944     59      0      0 
   9   0  1739   2150 246M  51M  23G  22G 477M   7G  47108    140      0      0 
  15   0  2413   2772 269M  51M  23G  22G 476M   7G  66052    199    104      1 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  15   0  1925   1937 278M  51M  23G  22G 477M   7G  33024    100 121744    166 
  12   0  1646   1907 278M  51M  23G  22G 477M   7G  33028     99      0      0 
  16   1  2321   2599 263M  51M  23G  22G 477M   7G  66052    198      0      0 
  11   0  1619   1933 274M  51M  23G  22G 477M   7G  33024    100      0      0 
  11   0  1635   1897 258M  51M  23G  22G 478M   7G  33028     99    124      1 
  17   0  2591   2592 279M  51M  23G  22G 478M   7G  66052    198 161816    170 
   6   0  1004   1405 271M  51M  23G  22G 477M   7G   8192     26      0      0 
  22   0  2530   2560 268M  51M  23G  22G 478M   7G  57860    173      0      0 
  16   0  2114   2325 280M  51M  23G  22G 478M   7G  53508    161      0      0 
   6   0  1076   1479 277M  51M  23G  22G 478M   7G  12544     38    120      1 
  19   1  2714   2764 259M  51M  23G  22G 478M   7G  66052    199 161792    165 
  12   0  1841   2096 269M  51M  23G  22G 479M   7G  47360    152      0      0 
  11   0  1450   1724 247M  51M  23G  22G 479M   7G  18692     57      0      0 
  19   0  2488   2659 266M  51M  23G  22G 479M   7G  66052    200      0      0 
   7   0  1086   1469 256M  51M  23G  22G 479M   7G  10240     32    104      1 
  17   0  2379   2600 245M  51M  23G  22G 479M   7G  55812    167  60948     63 
  16   0  2218   2459 262M  51M  23G  22G 479M   7G  47360    142  60412     62 
   9   0  1372   1743 274M  51M  23G  22G 479M   7G  18692     57      0      0 
  16   0  2365   2656 261M  50M  23G  22G 480M   7G  64516    195      0      0 
  14   0  3416   5256 241M  50M  23G  22G 480M   7G   7048    390   2252      3 
  21   1  4624   4344 304M  50M  23G  22G 470M   7G  65455   1091      4      1 
   4   0  1287   1883 303M  50M  23G  22G 470M   7G    236     28 161780    165 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  20   2  9294  15115 268M  50M  23G  22G 468M   7G  29204    245     16      8 
  13   0  1526   1699 260M  50M  23G  22G 468M   7G   7944     62      0      0 
  16   2  8902  15612 265M  50M  23G  22G 469M   7G  17920    140     28     14 
   8   0  1464   1616 276M  50M  23G  22G 469M   7G  19400    156    368      2 
  64   1  7070   8706 277M  50M  23G  22G 469M   7G      0      0 121243    128 
  18   0  3133   4628 260M  50M  23G  22G 469M   7G    128      1      8      4 
  10   0  1183   1556 260M  50M  23G  22G 469M   7G    256      2      0      0 
  24   1  8286  13935 264M  50M  23G  22G 470M   7G  12164     96     32     14 
  13   0  1783   1686 239M  50M  23G  22G 470M   7G  25316    200      0      0 
  16   1  6469  11530 252M  50M  23G  22G 471M   7G      0      0 121970    180 
  10   0  2405   2819 299M  50M  23G  22G 470M   7G  37032    293     12      7 
  16   1  6883  12245 274M  50M  23G  22G 471M   7G      0      0     12      6 
   8   0  1699   2647 274M  50M  23G  22G 471M   7G   1152      9     16      8 
  13   1  6122  11000 272M  50M  23G  22G 473M   7G      0      0     12      6 
  32   0  2803   2250 275M  50M  23G  22G 472M   7G  37828    297 161888    169 
  49   0  4638   1531 275M  50M  23G  22G 472M   7G      0      0      0      0 
   5   0   946   1491 275M  50M  23G  22G 472M   7G      4      1      8      1 
  30   1  7840  14512 264M  50M  23G  22G 473M   7G      0      0     16      9 
   6   1  2573   3890   1G  50M  22G  21G 472M   7G  36296    288      8      4 
  12   1  3883   6441   1G  50M  22G  21G 472M   7G      0      0 121484    136 
  14   1  4356   7339   1G  50M  22G  21G 473M   7G   2048     16      8      4 
  10   0  3597   6071   1G  50M  22G  21G 473M   7G      0      0      8      4 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  14   1  4520   6498   1G  50M  22G  21G 474M   7G  36992    289      8      4 
  12   0  4935  11657   1G  50M  22G  21G 476M   7G      0      0     12      6 
   8   0  1431   1994   1G  50M  22G  21G 476M   7G    899      8  46649     52 
  11   1  5923  10557   1G  50M  22G  21G 477M   7G      4      1  74835     83 
  13   0  2485   2639   1G  50M  22G  21G 477M   7G  37722    295      8      4 
  39   0  2516   1864   1G  50M  22G  21G 477M   7G      0      0     12      6 
  39   1  8376  13211   1G  50M  22G  21G 479M   7G    384      3     16      8 
  11   0  1351   1635   1G  50M  22G  21G 479M   7G   6272     49      0      0 
  10   1  6333  11275 952M  50M  22G  22G 481M   7G      0      0 145355    157 
  13   0  2077   2118 921M  50M  22G  22G 481M   7G  31391    245      4      3 
  11   0  1186   1418 919M  50M  22G  22G 481M   7G      0      0    100      8 
  15   1  8484  14660 804M  50M  22G  22G 483M   7G  37252    292     20      8 
  11   1  5727  10285 750M  50M  22G  22G 484M   7G      0      0     12      6 
   9   0  1515   1971 749M  50M  22G  22G 484M   7G    641      5 143864    148 
   4   0   808   1287 749M  50M  22G  22G 484M   7G      0      0      4      1 
  14   1  7225  11957 655M  50M  22G  22G 486M   7G  30879    241     16      9 
   8   0  1533   2109 645M  50M  22G  22G 486M   7G   6912     54    100      6 
  56   0  5897   7269 609M  50M  22G  22G 486M   7G      0      0      0      0 
  14   1  4046   5883 564M  50M  22G  22G 487M   7G  20608    161 142688    193 
   5   0  3629   6688 530M  50M  22G  22G 488M   7G      0      0     16      8 
  17   1  4679   7240 481M  50M  22G  22G 489M   7G  17412    137     12      4 
  11   0  2782   4545 462M  50M  22G  22G 489M   7G      0      0    120     10 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  25   1  6994  10980 370M  50M  23G  22G 491M   7G  36864    288     16      8 
  11   0  4743  10399 321M  50M  23G  22G 492M   7G      0      0 128072    153 
   6   0  1122   1720 319M  50M  23G  22G 492M   7G   1024      8      8      4 
  14   0  4202   7163 285M  50M  23G  22G 493M   7G      0      0     12      6 
   6   0  3436   4967 228M  50M  23G  22G 493M   7G  37632    294      8      4 
  10   0  2599   4188 297M  50M  23G  22G 493M   7G      0      0     96      8 
  61   0  4652   4173 281M  50M  23G  22G 493M   7G      0      0 153376    188 
   5   0  3381   8137 312M  50M  23G  22G 493M   7G  19020    154     20      8 
   9   0  1356   1910 310M  50M  23G  22G 493M   7G      0      0      8      4 
  19   1  7959  13344 260M  50M  23G  22G 495M   7G  19840    155     16      8 
   8   0  1091   1486 260M  50M  23G  22G 495M   7G      0      0    108      8 
  19   1  7129  14034 258M  50M  23G  22G 494M   7G  37576    298 119192    126 
   3   0   803   1279 258M  50M  23G  22G 494M   7G      0      0  51140     52 
  14   1  6310  11048 273M  50M  23G  22G 495M   7G   1408     11     16      9 
  10   0  2063   3362 259M  50M  23G  22G 495M   7G   1000     11     16      6 
  14   1  5263   9723 240M  50M  23G  22G 496M   7G   3456     27     16      8 
   9   0  1717   1605 293M  50M  23G  22G 496M   7G  34116    268     80      2 
  56   0  4867   4922 263M  50M  23G  22G 496M   7G      0      0 132952    137 
  31   0  5755   8821 273M  50M  23G  22G 497M   7G      0      0      4      1 
   8   0  1622   1910 254M  50M  23G  22G 497M   7G  19072    149      4      3 
  15   1  6729  11529 260M  50M  23G  22G 498M   7G  13696    107     16      8 
  13   0  1462   1688 253M  50M  23G  22G 498M   7G   7620     61      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  17   1  7181  12338 278M  50M  23G  22G 498M   7G      0      0 132788    142 
  11   0  3614   5058 284M  50M  23G  22G 498M   7G  37480    296     16      7 
  12   1  6436  11442 278M  50M  23G  22G 500M   7G   2304     18     20     10 
  13   0  1753   1701 255M  50M  23G  22G 500M   7G  22628    179      0      0 
  12   1  7046  12689 277M  50M  23G  22G 500M   7G      0      0     16      8 
  16   0  2093   2040 262M  50M  23G  22G 500M   7G  15560    126 127600    144 
   5   0   933   1380 262M  50M  23G  22G 500M   7G      0      0      8      4 
  63   0  4380   3690 249M  50M  23G  22G 500M   7G      0      0      0      0 
   6   1  6537  11505 255M  50M  23G  22G 501M   7G  22912    179     16      8 
   9   0  1820   2346 275M  50M  23G  22G 501M   7G  15592    125     12      4 
  15   1  6565  11399 274M  50M  23G  22G 501M   7G    256      2 134604    140 
   7   0  1189   1540 271M  50M  23G  22G 501M   7G   2660     23  54216     57 
  25   1  5385   9190 265M  50M  23G  22G 503M   7G      0      0      8      5 
   9   0  1903   1931 228M  50M  23G  22G 502M   7G  37348    294      8      4 
  11   1  5167   9137 267M  50M  23G  22G 502M   7G      0      0     12      6 
  13   0  3317   4608 277M  50M  23G  22G 502M   7G  25163    199      8      4 
  12   1  4634   8368 266M  50M  23G  22G 503M   7G      0      0 122895    146 
  11   0  2700   4133 260M  50M  23G  22G 503M   7G  15400    124      8      4 
  46   1  6237   8597 257M  50M  23G  22G 503M   7G      4      1     12      4 
  12   0  2741   3153 299M  50M  23G  22G 503M   7G  37348    294      8      4 
  12   1  7213  12964 274M  50M  23G  22G 504M   7G      0      0     20     10 
  15   0  1908   1932 267M  50M  23G  22G 505M   7G   7040     55 197680    205 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   5   0   917   1362 267M  50M  23G  22G 505M   7G      0      0      4      1 
  14   1  7395  13230 283M  50M  23G  22G 506M   7G      0      0     16      9 
   6   0  1742   1739 248M  50M  23G  22G 506M   7G  36196    285      8      4 
  15   1  6033  10179 265M  50M  23G  22G 506M   7G  11136     87     20     10 
   9   0  1206   1487 259M  50M  23G  22G 506M   7G   5348     44     84      2 
  13   1  7193  12435 274M  50M  23G  22G 507M   7G   2564     21 132492    149 
   9   0  1496   1521 252M  50M  23G  22G 507M   7G  22884    181      0      0 
  53   0  4400   4680 276M  50M  23G  22G 508M   7G      0      0      8      4 
   9   0  4440   8182 263M  50M  23G  22G 508M   7G  15232    119      8      4 
   8   0  1459   1491 239M  50M  23G  22G 508M   7G  23876    188      0      0 
  13   1  6826  11760 275M  50M  23G  22G 509M   7G      4      1 205836    231 
   5   0  1453   2265 271M  50M  23G  22G 509M   7G   2148     19     12      7 
   9   0  4923   8771 282M  50M  23G  22G 510M   7G      0      0      8      4 
  21   0  2436   1908 243M  50M  23G  22G 510M   7G  39261    308     12      4 
  12   1  6638  11873 258M  50M  23G  22G 510M   7G      0      0     12      6 
   6   0  1990   1839 306M  50M  23G  22G 510M   7G  38440    304 135740    159 
  10   0  1110   1421 306M  50M  23G  22G 510M   7G      0      0      0      0 
  11   1  5718  10269 250M  50M  23G  22G 511M   7G      0      0     12      6 
  32   1  5840   8386 256M  50M  23G  22G 511M   7G  14720    115     16      8 
   6   0   951   1357 256M  50M  23G  22G 511M   7G    456      8      0      0 
  65   0  3893   2421 251M  50M  23G  22G 511M   7G      0      0 122928    146 
  40   1  7377  11340 268M  50M  23G  22G 512M   7G      0      0      4      1 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   3   0  2435   3805 239M  50M  23G  22G 512M   7G  21120    165      8      5 
   8   0  1261   1521 229M  50M  23G  22G 512M   7G   9572     77      0      0 
  18   1  7976  12936 279M  50M  23G  22G 512M   7G  35176    278     32     14 
  10   0  2491   3970 260M  50M  23G  22G 513M   7G      0      0    108      8 
  10   1  5305   8915 267M  50M  23G  22G 514M   7G   4096     32 178096    230 
  12   0  1454   1671 261M  50M  23G  22G 514M   7G   6244     51      0      0 
  16   1  8122  13795 262M  49M  23G  22G 515M   7G  15104    118     24     12 
   9   0  1511   1527 239M  49M  23G  22G 515M   7G  23268    184      0      0 
  40   0  6109   8872 274M  49M  23G  22G 514M   7G      0      0     12      6 
  38   1  4962   6496 230M  49M  23G  22G 515M   7G      0      0 136492    145 
   6   0  1681   1898 232M  49M  23G  22G 515M   7G  26088    207     12      4 
  13   1  5910  10222 233M  49M  23G  22G 516M   7G   2176     17     20     10 
  13   0  1662   1682 231M  49M  23G  22G 516M   7G  18116    143      0      0 
  16   1  6449  11330 227M  49M  23G  22G 517M   7G      0      0     12      6 
   9   0  4032   5610 235M  49M  23G  22G 517M   7G  38340    301 126504    148 
  12   0  3785   6441 229M  49M  23G  22G 518M   7G      0      0      8      4 
  14   1  5042   8419 228M  49M  23G  22G 518M   7G   8264     69     16      8 
  13   1  5676   8766 231M  49M  23G  22G 518M   7G  34564    271     24     10 
  38   0  2910   2611 229M  49M  23G  22G 518M   7G      0      0     12      6 
  36   1  6379   9405 232M  49M  23G  22G 518M   7G      0      0 116880    119 
   5   0  1736   1772 231M  49M  23G  22G 518M   7G  35712    279  15780     23 
  10   0  1249   1633 232M  49M  23G  22G 518M   7G   3656     33      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  21   1  8673  15216 233M  49M  23G  22G 519M   7G   1152      9     24     12 
   9   0  3219   5469 233M  49M  23G  22G 519M   7G   4676     38     12      6 
  16   1  4775   6846 231M  49M  23G  22G 519M   7G  39108    307      8      4 
  14   1  5362   9968 229M  49M  23G  22G 521M   7G      4      1 110172    137 
   9   0  1477   1940 228M  49M  23G  22G 521M   7G   6500     53      8      4 
  14   1  6456  11536 231M  49M  22G  22G 522M   7G      0      0     12      6 
   8   0  1843   1831 232M  49M  22G  22G 521M   7G  39620    311      8      4 
  41   0  6634   9775 230M  49M  22G  22G 522M   7G      0      0      8      4 
  26   0  3453   3339 232M  49M  22G  22G 522M   7G  29796    235 174956    184 
  11   0  1229   1563 232M  49M  22G  22G 522M   7G      0      0      4      1 
  14   1  7735  13837 228M  49M  22G  22G 524M   7G      0      0     12      7 
   6   0  1514   1872 227M  49M  22G  22G 523M   7G  17252    137      8      4 
  12   0  4338   7549 229M  49M  22G  22G 524M   7G      4      1     16      6 
  12   1  4720   7583 303M  49M  22G  22G 524M   7G  21504    168    108     10 
  14   0  1820   1600 272M  49M  22G  22G 524M   7G  19268    152 128200    135 
  10   1  4801   9238 303M  49M  22G  22G 524M   7G      0      0     12      6 
   9   0  3558   5554 255M  49M  22G  22G 525M   7G  23680    185     16      8 
  11   0  3639   6187 251M  49M  22G  22G 526M   7G   1124     11      8      4 
  52   0  5548   6716 260M  49M  22G  22G 525M   7G   2432     19    112      6 
  12   0  1772   1681 241M  49M  22G  22G 526M   7G  18916    150 149544    179 
  10   1  4560   8056 272M  49M  22G  22G 526M   7G      0      0     12      6 
  14   1  4651   6554 241M  49M  22G  22G 526M   7G  41832    330     20      8 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  12   0  5055   8945 272M  49M  22G  22G 526M   7G      0      0      8      4 
  15   0  3803   5671 272M  49M  22G  22G 527M   7G  14692    117     16      8 
   4   0  3044   5222 247M  49M  22G  22G 528M   7G      0      0 207280    217 
  15   0  4832   7704 236M  49M  22G  22G 529M   7G  14208    111      8      4 
   9   0  1769   2183 288M  49M  22G  22G 527M   7G  16584    134     12      6 
  18   1  6962  11111 272M  49M  22G  22G 528M   7G  32452    255      8      4 
  16   0  3412   5452 247M  49M  22G  22G 529M   7G      0      0     12      6 
  48   1  6006   7784 291M  49M  22G  22G 528M   7G      0      0  96516    100 
   7   0  1532   1875 273M  49M  22G  22G 528M   7G  18102    144     12      4 
   7   0  1719   2791 264M  49M  22G  22G 528M   7G      0      0      8      4 
  17   1  7879  12789 241M  49M  22G  22G 530M   7G  38795    305     12      6 
  15   1  5268   9072 277M  49M  22G  22G 530M   7G      0      0     12      6 
   6   0  2432   3565 251M  49M  22G  22G 530M   7G  15972    127  83708     89 
  10   0  1960   2774 270M  49M  22G  22G 530M   7G      4      1 109788    129 
