waiting for 1 second sample...
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   8   0  1259   1653   2G  67M  22G  21G 280M   6G  14592     44      0      0 
  16   0  2388   2590   2G  67M  22G  21G 281M   6G  66052    198      0      0 
  18   0  2389   2553   2G  67M  22G  21G 282M   6G  66052    199      0      0 
  12   0  1383   1677   2G  67M  22G  21G 283M   6G  12288     37      0      0 
  46   0  3439   2528   2G  67M  22G  21G 283M   6G  53764    161     92      2 
   9   0  1348   1742   2G  67M  22G  22G 284M   6G  18560     56      0      0 
  10   0  1797   2162   2G  67M  22G  22G 285M   6G  47492    150      0      0 
  16   0  2510   2904   2G  67M  22G  22G 285M   6G  66052    203      0      0 
  11   0  1865   2228   1G  67M  22G  22G 286M   6G  49412    148      0      0 
  10   0  1431   1866   1G  67M  22G  22G 287M   6G  16640     50      0      0 
  18   0  2679   3029   1G  67M  22G  22G 288M   6G  66052    208     88      2 
  15   0  2144   2423   1G  67M  23G  22G 289M   6G  55556    166      0      0 
   6   0  1223   1647   1G  67M  23G  22G 290M   6G  18688     67      0      0 
  16   0  2376   2680   1G  67M  23G  22G 291M   6G  57860    173      0      0 
  16   0  2487   2770   1G  67M  23G  22G 292M   6G  66052    199  40628     55 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  14   0  1530   1775   1G  67M  23G  22G 293M   6G  12288     39      0      0 
   9   0  1910   2349   1G  67M  23G  22G 294M   6G  53764    161    128      2 
  18   0  2572   2883   1G  67M  23G  22G 294M   6G  66052    200      0      0 
  13   0  1468   1712   1G  67M  23G  22G 295M   6G  13184     42      0      0 
  13   0  2228   2437   1G  67M  23G  22G 296M   6G  52815    157 121347    139 
  18   0  2497   2701   1G  67M  23G  23G 297M   6G  66180    207      0      0 
   9   0  1303   1668   1G  67M  23G  23G 298M   6G  12172     37    108      2 
  15   0  2378   2792   1G  67M  23G  23G 298M   6G  53764    161      0      0 
  16   0  2386   2675 928M  67M  23G  23G 299M   6G  66052    199      0      0 
  12   0  1547   1740 874M  67M  23G  23G 300M   6G  12928     48  80832     83 
  11   0  1949   2201 799M  67M  23G  23G 300M   6G  53124    158      0      0 
  17   0  2550   2856 717M  67M  24G  23G 302M   6G  66052    199     96      2 
  11   0  1677   1987 642M  67M  24G  23G 303M   6G  35456    107      0      0 
  49   0  4948   2229 518M  67M  24G  23G 303M   6G  30596     91      0      0 
   9   0  1653   1923 456M  67M  24G  23G 304M   6G  21248     66 161728    164 
  11   0  1754   2021 385M  67M  24G  23G 305M   6G  44804    138      0      0 
  16   0  2385   2648 303M  67M  24G  23G 305M   6G  66052    216     92      1 
  12   1  1978   2314   1G  67M  23G  23G 305M   6G  53401    167      4      1 
   9   0  1284   1612   1G  67M  23G  23G 304M   6G  12569     38      0      0 
  16   0  2591   2695 973M  67M  23G  23G 304M   6G  66056    200 121356    125 
  18   1  2385   2639 747M  67M  23G  23G 305M   6G  54404    164      0      0 
   6   0  1134   1550 691M  67M  23G  23G 306M   6G  15744     47     96      1 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  15   0  2302   2514 614M  67M  23G  23G 307M   6G  61956    186      4      1 
  16   0  2375   2593 525M  67M  23G  23G 307M   6G  66052    199      0      0 
  12   0  1537   1762 471M  67M  24G  23G 309M   6G  14336     47  80872     82 
  12   1  2111   2246 398M  67M  24G  23G 309M   6G  51716    155  80876     82 
  18   0  2523   2767 315M  67M  24G  23G 310M   6G  66052    199      0      0 
  15   0  1549   1774 262M  67M  24G  23G 311M   6G  12288     40    104      2 
  11   1  2051   2482   2G  67M  22G  21G 306M   6G  53764    176      0      0 
  15   0  2300   2518   2G  67M  22G  21G 306M   6G  66052    199      0      0 
  12   0  1881   1961   2G  67M  22G  21G 306M   6G  26752     81 161940    180 
  10   0  1798   2158   1G  67M  22G  21G 307M   6G  39300    117      0      0 
  15   0  2353   2615   1G  67M  22G  22G 307M   6G  65986    199    132      2 
  12   0  1866   2189   1G  67M  22G  22G 309M   6G  51512    154      0      0 
  10   0  1367   1687   1G  67M  22G  22G 310M   6G  14592     43      0      0 
  17   0  2587   2714   1G  67M  22G  22G 310M   6G  66052    198 121316    124 
  16   0  2220   2698   1G  67M  22G  22G 311M   6G  59652    179      0      0 
   7   0  1334   1963   1G  67M  22G  22G 312M   6G  14592     46    120      2 
  16   0  2036   2381   1G  67M  23G  22G 313M   6G  57860    173      0      0 
  15   0  2121   2550   1G  67M  23G  22G 314M   6G  66052    197      0      0 
  11   0  1650   1804   1G  67M  23G  22G 315M   6G  14976     47 161956    183 
  10   0  1796   2082   1G  67M  23G  22G 315M   6G  51076    152      0      0 
  18   0  2472   2706   1G  67M  23G  22G 316M   6G  64516    207    116      2 
  11   0  1354   1668   1G  67M  23G  22G 317M   6G  12672     39      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  11   0  2033   2467   1G  67M  23G  22G 318M   6G  54916    162      0      0 
  16   0  2292   2489   1G  67M  23G  22G 319M   6G  66052    197      0      0 
  13   1  1920   2042 948M  67M  23G  23G 320M   6G  33024    102 121320    124 
  10   0  1582   1902 884M  67M  23G  23G 321M   6G  33028     99    116      2 
  15   0  2318   2574 803M  67M  23G  23G 321M   6G  66052    198      0      0 
  14   1  2184   2521 695M  67M  23G  23G 323M   6G  53508    161      0      0 
  46   1  4591   1835 614M  67M  23G  23G 323M   6G  12544     38      0      0 
   8   0  1574   1840 554M  67M  23G  23G 324M   6G  20608     63 161732    163 
  10   0  1816   2152 483M  67M  23G  23G 325M   6G  45444    136    100      2 
  15   0  2456   2808 402M  67M  24G  23G 325M   6G  66052    212      0      0 
  11   0  1948   2358 317M  67M  24G  23G 326M   6G  47360    142      0      0 
  10   0  1491   1819 262M  67M  24G  23G 327M   6G  18692     57      0      0 
  16   0  2544   2676 327M  67M  24G  23G 324M   6G  66052    204 121320    124 
  16   1  2296   2508   1G  67M  23G  22G 325M   6G  64516    201     96      1 
   8   0  1289   1710 953M  67M  23G  22G 321M   6G  13660     43      4      1 
  30   2  4900   7721 742M  67M  23G  22G 321M   6G  54563    169   1619     27 
  15   0  2029   2273 656M  67M  23G  23G 322M   6G  54148    164      0      0 
   8   0  1222   1641 604M  67M  23G  23G 324M   6G  11904     35      0      0 
  16   1  2520   2631 529M  67M  23G  23G 323M   6G  66052    198 161968    192 
  14   0  1861   2106 456M  67M  23G  23G 325M   6G  43264    131      0      0 
  12   0  1565   1999 400M  67M  23G  23G 326M   6G  22788     69    168      1 
  16   0  2479   2794 320M  67M  23G  23G 326M   6G  66052    199      4      1 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  15   0  2180   2382 300M  67M  23G  23G 325M   6G  59652    182      0      0 
   6   0  1360   1686 251M  67M  23G  23G 327M   6G   8448     33 161752    163 
  23   0  2741   2808 382M  67M  23G  23G 325M   6G  64004    197      0      0 
  15   0  2105   2332 296M  67M  23G  23G 326M   6G  53508    163      0      0 
   7   0  1270   1742 241M  67M  24G  23G 327M   6G  13696     43    140      2 
  15   0  2258   2447 258M  67M  23G  23G 326M   6G  64900    202      0      0 
  15   1  2548   2650 282M  67M  23G  23G 325M   6G  66052    204 121596    155 
  12   0  1518   1827 269M  67M  23G  23G 325M   6G  20608     64      0      0 
  11   0  1805   2172 251M  67M  23G  23G 326M   6G  45444    136      0      0 
  15   0  2347   2587 273M  67M  23G  23G 327M   6G  66052    199    112      2 
  16   0  1981   2319 261M  67M  23G  23G 328M   6G  33024    104      0      0 
   9   0  1657   1901 276M  67M  23G  23G 329M   6G  33028    102  86296     88 
  16   1  2618   2838 261M  67M  23G  23G 329M   6G  66052    200  75488     76 
  15   0  2249   2632 276M  67M  23G  23G 330M   6G  53508    161      0      0 
   9   0  1286   1640 265M  67M  23G  23G 331M   6G  12544     38    116      1 
  19   0  2486   2587 277M  67M  23G  23G 332M   6G  66052    199      4      1 
  11   0  1883   2290 261M  67M  23G  23G 333M   6G  45312    136      0      0 
  10   0  1613   1821 239M  67M  23G  23G 334M   6G  20719     62 121203    124 
  15   0  2352   2632 263M  67M  23G  23G 334M   6G  66118    199      0      0 
  18   0  2323   2746 277M  67M  23G  23G 335M   6G  57988    175      0      0 
   6   0  1160   1573 271M  67M  23G  23G 336M   6G  16256     49    100      2 
  15   0  2315   2699 251M  67M  23G  23G 337M   6G  57860    173      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  16   0  2593   2801 266M  67M  23G  23G 338M   6G  66056    201 161732    188 
  12   0  1662   1937 260M  67M  23G  23G 339M   6G  33024    100      0      0 
  10   0  1543   1844 245M  67M  23G  23G 340M   6G  33028     99      0      0 
  16   0  2405   2688 274M  67M  23G  23G 340M   6G  66052    200    104      2 
  11   0  1667   2041 272M  67M  23G  23G 341M   6G  29440     89      0      0 
  10   0  1904   2172 280M  67M  23G  23G 342M   6G  36612    109 121556    139 
  18   0  2684   3011 229M  67M  23G  23G 343M   6G  66052    203      0      0 
   6   0  1154   1592 226M  67M  23G  23G 344M   6G  12288     41      0      0 
  15   0  2224   2571 228M  67M  23G  23G 345M   6G  53764    161    164      2 
  15   0  2209   2639 225M  67M  23G  23G 345M   6G  66052    205      0      0 
  12   0  1894   2274 223M  67M  23G  23G 346M   6G  35712    108  84968     86 
  11   0  1723   2106 221M  67M  23G  23G 347M   6G  30340     90  76768     77 
  16   0  2232   2685 224M  67M  23G  23G 348M   6G  68484    210      0      0 
  13   0  1569   1847 218M  67M  23G  23G 349M   6G  22272     67    116      2 
  12   0  1752   2049 220M  67M  23G  23G 349M   6G  41348    125      0      0 
  22   0  2642   2815 212M  67M  23G  23G 350M   6G  53508    162      0      0 
   7   0  1428   1783 214M  67M  23G  23G 351M   6G  17280     55 121328    130 
  17   0  2291   2409 208M  67M  23G  23G 352M   6G  61316    185      0      0 
  15   0  2492   2978 213M  67M  23G  23G 353M   6G  66052    199    112      1 
  12   0  1561   1901 206M  67M  23G  23G 354M   6G  21504     65      4      1 
  10   0  1727   2062 204M  67M  23G  23G 355M   6G  44548    132      0      0 
  16   0  2660   2774 204M  67M  23G  23G 355M   6G  66052    199 162040    200 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  13   1  2010   2351 200M  67M  23G  23G 356M   6G  53892    162      0      0 
   9   0  1216   1602 199M  67M  23G  23G 357M   6G  12160     36      0      0 
  18   0  2687   3112 203M  67M  23G  23G 358M   6G  66052    199    104      1 
  12   0  1738   2127 275M  67M  23G  23G 359M   6G  37120    117      4      1 
  10   0  1676   1932 250M  67M  23G  23G 360M   6G  28932     88 161900    186 
  16   0  2536   2893 258M  67M  23G  23G 360M   6G  66052    201      0      0 
  12   0  1884   2184 243M  67M  23G  23G 362M   6G  52356    158      0      0 
  10   0  1291   1605 278M  67M  23G  23G 363M   6G  13696     40      0      0 
  16   1  2373   2692 255M  67M  23G  23G 363M   6G  66052    199      0      0 
  16   1  2621   2842 271M  67M  23G  23G 364M   6G  66052    199 119132    124 
  11   0  1299   1503 283M  67M  23G  23G 364M   6G  12288     39   2288      3 
  13   0  2171   2588 264M  67M  23G  23G 364M   6G  53764    160      0      0 
  15   0  2122   2488 250M  67M  23G  23G 365M   6G  53508    161      0      0 
  10   0  1264   1621 280M  67M  23G  23G 367M   6G  12544     38      0      0 
  16   1  2591   2998 259M  67M  23G  23G 367M   6G  66052    199    116      1 
  18   1  2429   2386 273M  67M  23G  23G 368M   6G  59652    179 161956    181 
   6   0  1134   1521 262M  67M  23G  23G 369M   6G  16640     67      0      0 
  15   0  2221   2505 245M  67M  23G  23G 370M   6G  55812    167      0      0 
  16   1  2443   2701 268M  67M  23G  23G 368M   6G  66152    210      0      0 
  15   0  1636   1864 252M  67M  23G  23G 369M   6G  14336     44      0      0 
   9   0  1979   2304 257M  67M  23G  23G 370M   6G  51716    155 121468    127 
  16   0  2541   3130 290M  67M  23G  23G 370M   6G  66052    203      0      0 
#<--------CPU--------><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
  12   0  1826   2353 250M  67M  23G  23G 372M   6G  39808    123      0      0 
  10   0  1490   1886 272M  67M  23G  23G 373M   6G  26244     77      0      0 
  16   0  2364   2749 257M  67M  23G  23G 373M   7G  66052    199      0      0 
  16   0  2365   2509 278M  67M  23G  23G 374M   7G  53508    163 161908    166 
   6   0  1187   1626 274M  67M  23G  23G 375M   7G  15744     54      0      0 
  16   0  2186   2404 245M  67M  23G  23G 376M   7G  62852    192      0      0 
  17   0  2372   2609 274M  67M  23G  23G 377M   7G  66052    201      0      0 
  14   0  1420   1657 274M  67M  23G  23G 378M   7G  10240     32      0      0 
  10   0  1942   2217 239M  67M  23G  23G 378M   7G  55812    167  56196     58 
  18   0  2566   2595 243M  67M  23G  23G 379M   7G  66052    199  65264     68 
  13   0  1598   1890 261M  67M  23G  23G 380M   7G  22784     70      0      0 
  10   0  1703   2048 274M  66M  23G  23G 381M   7G  43268    129      0      0 
  16   0  2391   2659 273M  66M  23G  23G 381M   7G  66052    209      0      0 
  12   0  1937   2239 267M  66M  23G  23G 382M   7G  51460    155     92      2 
  10   0  1493   1655 311M  66M  23G  23G 383M   7G  14592     45 162024    217 
  18   0  2501   2751 275M  66M  23G  23G 384M   7G  66052    199      0      0 
  16   0  2138   2301 274M  66M  23G  23G 385M   7G  54094    164      0      0 
   7   0  1175   1608 312M  66M  23G  23G 386M   7G  11916     35      0      0 
